dimensie/0/_name,dimensie/0/__text,dimensie/1/_name,dimensie/1/__text,dimensie/2/_name,dimensie/2/__text,dimensie/3/_name,dimensie/3/__text
aantal,"39123777,5",jaar,1987,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"130922712,7",jaar,1987,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"541912965,2",jaar,1987,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,747471720,jaar,1987,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"161954245,8",jaar,1987,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"857303837,9",jaar,1987,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"365637489,7",jaar,1987,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"41875704,72",jaar,1987,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"246125830,4",jaar,1987,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"100073842,4",jaar,1987,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"12294558,49",jaar,1987,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"38565649,48",jaar,1988,netwerk,snelwegen,voertuigtype,motor
aantal,"79923303,36",jaar,1988,netwerk,gewestwegen,voertuigtype,motor
aantal,"52244604,93",jaar,1988,netwerk,gemeentewegen,voertuigtype,motor
aantal,10073804342,jaar,1988,netwerk,snelwegen,voertuigtype,personenwagen
aantal,14470907946,jaar,1988,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,7703638376,jaar,1988,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"614868387,8",jaar,1988,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,"702661833,4",jaar,1988,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"454898518,3",jaar,1988,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"90096461,37",jaar,1988,netwerk,snelwegen,voertuigtype,bus
aantal,"153817187,3",jaar,1988,netwerk,gewestwegen,voertuigtype,bus
aantal,"77259003,25",jaar,1988,netwerk,gemeentewegen,voertuigtype,bus
aantal,"1141746,202",jaar,1988,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"41234529,1",jaar,1988,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"145793261,3",jaar,1988,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"602588273,1",jaar,1988,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"783087588,4",jaar,1988,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,165874024,jaar,1988,netwerk,gemeentewegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,"984718040,7",jaar,1988,netwerk,snelwegen,voertuigtype,trekker met oplegger
aantal,"408794632,9",jaar,1988,netwerk,gewestwegen,voertuigtype,trekker met oplegger
aantal,"43225572,73",jaar,1988,netwerk,gemeentewegen,voertuigtype,trekker met oplegger
aantal,"280286006,4",jaar,1988,netwerk,snelwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"107960103,4",jaar,1988,netwerk,gewestwegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"12567787,67",jaar,1988,netwerk,gemeentewegen,voertuigtype,vrachtwagen met aanhangwagen
aantal,"43201847,41",jaar,1989,netwerk,snelwegen,voertuigtype,motor
aantal,"81432790,07",jaar,1989,netwerk,gewestwegen,voertuigtype,motor
aantal,"48878059,18",jaar,1989,netwerk,gemeentewegen,voertuigtype,motor
aantal,11309217073,jaar,1989,netwerk,snelwegen,voertuigtype,personenwagen
aantal,15097667263,jaar,1989,netwerk,gewestwegen,voertuigtype,personenwagen
aantal,7599298727,jaar,1989,netwerk,gemeentewegen,voertuigtype,personenwagen
aantal,"696847224,5",jaar,1989,netwerk,snelwegen,voertuigtype,bestelwagen
aantal,"752448774,6",jaar,1989,netwerk,gewestwegen,voertuigtype,bestelwagen
aantal,"450724432,4",jaar,1989,netwerk,gemeentewegen,voertuigtype,bestelwagen
aantal,"96469867,85",jaar,1989,netwerk,snelwegen,voertuigtype,bus
aantal,"150272880,6",jaar,1989,netwerk,gewestwegen,voertuigtype,bus
aantal,"75206219,77",jaar,1989,netwerk,gemeentewegen,voertuigtype,bus
aantal,"1283223,19",jaar,1989,netwerk,snelwegen,voertuigtype,speciaal voertuig
aantal,"42605299,96",jaar,1989,netwerk,gewestwegen,voertuigtype,speciaal voertuig
aantal,"155250666,5",jaar,1989,netwerk,gemeentewegen,voertuigtype,speciaal voertuig
aantal,"667133478,6",jaar,1989,netwerk,snelwegen,voertuigtype,vrachtwagen uit 1 stuk
aantal,804148802,jaar,1989,netwerk,gewestwegen,voertuigtype,vrachtwagen uit 1 stuk
